match_id,date,team1,team2,winner,h2h_winrate,h2h_matches,team1_elo,team1_last5_wr,team1_avg_acs,team1_avg_rating,team1_avg_kast,team1_avg_adr,team1_avg_fk,team1_avg_fd,team2_elo,team2_last5_wr,team2_avg_acs,team2_avg_rating,team2_avg_kast,team2_avg_adr,team2_avg_fk,team2_avg_fd,elo_diff,last5_wr_diff,avg_acs_diff,avg_rating_diff,avg_kast_diff,avg_adr_diff,avg_fk_diff,avg_fd_diff
167361,2023-02-20 05:00:00,KIWOOM DRX,TALON,1,0.5,0,1532.0,1.0,214.7,1.125,77.13499999999999,140.43,2.17,1.53,1532.0,1.0,212.75,1.04,74.2,138.05,2.4000000000000004,2.2,0.0,0.0,1.9499999999999886,0.08499999999999996,2.934999999999988,2.3799999999999955,-0.23000000000000043,-0.6700000000000002
167362,2023-02-23 01:00:00,Team Liquid,Team Secret,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167363,2023-02-23 03:30:00,Natus Vincere,KRÜ Esports,1,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167364,2023-02-23 06:00:00,ZETA DIVISION,LEVIATÁN,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167365,2023-02-24 01:05:00,Team Vitality,Global Esports,1,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167366,2023-02-24 04:10:00,FUT Esports,Rex Regum Qeon,1,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167367,2023-02-24 06:30:00,100 Thieves,EDward Gaming,1,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167368,2023-02-25 01:05:00,Sentinels,FNATIC,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167369,2023-02-25 03:50:00,T1,FURIA,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167370,2023-02-26 01:00:00,Team Secret,Natus Vincere,0,0.5,0,1516.0,1.0,214.8,1.14,79.5,136.0,2.3,1.8,1516.0,1.0,226.1,1.28,83.5,151.3,2.2,1.9,0.0,0.0,-11.299999999999983,-0.14000000000000012,-4.0,-15.300000000000011,0.09999999999999964,-0.09999999999999987
